counter;priority;category;thread;message
32;INFO;com.eibus.management.AlertSystem;cn=CoBOC,cn=CoBOC,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com-OutputStream;[Alert ID=Cordys.ESBServer.Messages.soapProcessorStarted] The Service Container cn=CoBOC,cn=CoBOC,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com has been started.
31;INFO;com.eibus.management.AlertSystem;cn=Application Server,cn=monitor@appworks,cn=monitorsoapnode@appworks,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com-OutputStream;[Alert ID=Cordys.ESBServer.Messages.soapProcessorStarted] The Service Container cn=Logging,cn=Logging,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com has been started.
30;INFO;com.eibus.management.AlertSystem;startProcessorInThreadGroup cn=Logging,cn=Logging,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com;[Alert ID=Cordys.ESBServer.Messages.runningStateChangeActivate] Service container 'cn=Logging,cn=Logging,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com' is being resumed...
29;INFO;com.eibus.management.AlertSystem;cn=Application Server,cn=monitor@appworks,cn=monitorsoapnode@appworks,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com-OutputStream;[Alert ID=Cordys.ESBServer.Messages.soapProcessorStarted] The Service Container cn=Business Process Management,cn=Business Process Management,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com has been started.
28;INFO;com.eibus.management.AlertSystem;startProcessorInThreadGroup cn=Business Process Management,cn=Business Process Management,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com;[Alert ID=Cordys.ESBServer.Messages.runningStateChangeActivate] Service container 'cn=Business Process Management,cn=Business Process Management,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com' is being resumed...
27;INFO;com.eibus.management.AlertSystem;cn=Application Server,cn=monitor@appworks,cn=monitorsoapnode@appworks,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com-OutputStream;[Alert ID=Cordys.ESBServer.Messages.soapProcessorStarted] The Service Container cn=Data Transformation,cn=Data Transformation,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com has been started.
26;INFO;com.eibus.management.AlertSystem;startProcessorInThreadGroup cn=Data Transformation,cn=Data Transformation,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com;[Alert ID=Cordys.ESBServer.Messages.runningStateChangeActivate] Service container 'cn=Data Transformation,cn=Data Transformation,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com' is being resumed...
25;INFO;com.eibus.management.AlertSystem;ThreadPool_MonitorBootStrap/Worker-5;[Alert ID=Cordys.ESBServer.Messages.processLaunch] Launching process cn=CoBOC,cn=CoBOC,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com.
24;INFO;com.eibus.management.AlertSystem;cn=Application Server,cn=monitor@appworks,cn=monitorsoapnode@appworks,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com-OutputStream;[Alert ID=Cordys.ESBServer.Messages.soapProcessorStarted] The Service Container cn=CAP@appworks,cn=CAP,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com has been started.
23;INFO;com.eibus.management.AlertSystem;startProcessorInThreadGroup cn=CAP@appworks,cn=CAP,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com;[Alert ID=Cordys.ESBServer.Messages.runningStateChangeActivate] Service container 'cn=CAP@appworks,cn=CAP,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com' is being resumed...
22;INFO;com.eibus.management.AlertSystem;cn=Application Server,cn=monitor@appworks,cn=monitorsoapnode@appworks,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com-OutputStream;[Alert ID=Cordys.ESBServer.Messages.soapProcessorStarted] The Service Container cn=Notification,cn=Notification,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com has been started.
21;INFO;com.eibus.management.AlertSystem;startProcessorInThreadGroup cn=Notification,cn=Notification,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com;[Alert ID=Cordys.ESBServer.Messages.runningStateChangeActivate] Service container 'cn=Notification,cn=Notification,cn=soap nodes,o=system,cn=cordys,cn=defaultInst,o=22.3.com' is being resumed...
